quantity	landed_value	rederived_value	landed_bundle	landed_table	tolerance	verdict	unit	denominator
n_records in RVT-UG26	8407.0	8407.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG26	5374.0	5374.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG26	3954.0	3954.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG27	6425.0	6425.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG27	5523.0	5523.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG27	1183.0	1183.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG28	4413.0	4413.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG28	4144.0	4144.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG28	1158.0	1158.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG28b	1969.0	1969.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG28b	1603.0	1603.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG28b	871.0	871.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG3	39992.0	39992.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG3	38549.0	38549.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG3	5821.0	5821.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG4	32526.0	32526.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG4	31720.0	31720.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG4	4705.0	4705.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG5	52895.0	52895.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG5	51344.0	51344.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG5	6439.0	6439.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG6	1090.0	1090.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG6	882.0	882.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG6	331.0	331.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG7	18475.0	18475.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG7	17503.0	17503.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG7	3262.0	3262.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG8	38721.0	38721.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG8	37297.0	37297.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG8	7261.0	7261.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in RVT-UG9	2500.0	2500.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in RVT-UG9	2180.0	2180.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in RVT-UG9	674.0	674.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_records in Retron	663308.0	663308.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_loci in Retron	632688.0	632688.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
n_exact_rt in Retron	78287.0	78287.0	dbchar_g2_canonical_units	g2_ladder_by_family_label.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements	344154.0	344154.0	dbchar_g3_pair_geometry	g3_populations.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
ALL placements	346722.0	346722.0	dbchar_g3_pair_geometry	g3_populations.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements, direction=downstream	6761.0	6761.0	dbchar_g3_pair_geometry	g3_direction.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements, direction=overlapping	12124.0	12124.0	dbchar_g3_pair_geometry	g3_direction.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements, direction=upstream	325269.0	325269.0	dbchar_g3_pair_geometry	g3_direction.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements, 0 CDS between	324904.0	324904.0	dbchar_g3_pair_geometry	g3_cds_between_explicit.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements, 1 CDS between	12427.0	12427.0	dbchar_g3_pair_geometry	g3_cds_between_explicit.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements, 2 CDS between	939.0	939.0	dbchar_g3_pair_geometry	g3_cds_between_explicit.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements, 3 CDS between	544.0	544.0	dbchar_g3_pair_geometry	g3_cds_between_explicit.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL placements, >3 CDS between	5340.0	5340.0	dbchar_g3_pair_geometry	g3_cds_between_explicit.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL downstream, same_strand=False	61.0	61.0	dbchar_g3_pair_geometry	g3_same_strand.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL downstream, same_strand=True	6700.0	6700.0	dbchar_g3_pair_geometry	g3_same_strand.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL overlapping, same_strand=False	16.0	16.0	dbchar_g3_pair_geometry	g3_same_strand.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL overlapping, same_strand=True	12108.0	12108.0	dbchar_g3_pair_geometry	g3_same_strand.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL upstream, same_strand=False	2964.0	2964.0	dbchar_g3_pair_geometry	g3_same_strand.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
CANONICAL upstream, same_strand=True	322305.0	322305.0	dbchar_g3_pair_geometry	g3_same_strand.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci	632688.0	632688.0	dbchar_g3_pair_geometry	g3_zero_class_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
Retron loci with >=1 ncRNA call in a record (g3's rule)	333838.0	333838.0	dbchar_g3_pair_geometry	g3_zero_class_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
RVT-GII loci	1525893.0	1525893.0	dbchar_g3_pair_geometry	g3_zero_class_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
RVT-GII loci with >=1 ncRNA call in a record (g3's rule)	120.0	120.0	dbchar_g3_pair_geometry	g3_zero_class_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
distinct exact (RT, ncRNA) pairs	30924.0	30924.0	dbchar_g3_pair_geometry	g3_pair_view_sizes.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs in the pair view	29192.0	29192.0	dbchar_g3_pair_geometry	g3_topology_degrees.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs in the pair view	16458.0	16458.0	dbchar_g3_pair_geometry	g3_topology_degrees.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
non-Retron retron-CM candidate placements	266.0	266.0	dbchar_g3_pair_geometry	g3_nonretron_cm_placements.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-GII (V-RT-SINGLE)	256624.0	256624.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-GII	407.0	407.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of Retron (V-RT-SINGLE)	78287.0	78287.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of Retron	342.0	342.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-DGRs (V-RT-SINGLE)	76111.0	76111.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-DGRs	359.0	359.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG2 (V-RT-SINGLE)	8423.0	8423.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG2	431.0	431.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG8 (V-RT-SINGLE)	7261.0	7261.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG8	606.0	606.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG5 (V-RT-SINGLE)	6439.0	6439.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG5	892.0	892.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-AbiP2 (V-RT-SINGLE)	6377.0	6377.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-AbiP2	498.0	498.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG3 (V-RT-SINGLE)	5821.0	5821.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG3	409.0	409.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG4 (V-RT-SINGLE)	4705.0	4705.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG4	309.0	309.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG17 (V-RT-SINGLE)	4702.0	4702.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG17	427.5	427.5	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-CRISPR (V-RT-SINGLE)	4035.0	4035.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-CRISPR	468.0	468.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG26 (V-RT-SINGLE)	3954.0	3954.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG26	404.0	404.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG15 (V-RT-SINGLE)	3479.0	3479.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG15	501.0	501.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-UG7 (V-RT-SINGLE)	3262.0	3262.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-UG7	524.0	524.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact RTs of RVT-CRISPR-like (V-RT-SINGLE)	3156.0	3156.0	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median RT aa length of RVT-CRISPR-like	331.5	331.5	dbchar_g4_family_baseline	g4_rt_length_by_family.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by OutgroupA	3319.0	3319.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, OutgroupA	129.0	129.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIA_IIAI	2109.0	2109.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIA_IIAI	159.0	159.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIC1_IC2	2034.0	2034.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIC1_IC2	134.0	134.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by Ec107_like	2023.0	2023.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, Ec107_like	183.0	183.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeXIIIB_Ne144	1534.0	1534.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeXIIIB_Ne144	224.0	224.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIIIA3	736.0	736.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIIIA3	264.0	264.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIB1	574.0	574.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIB1	147.0	147.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeXIIIA_firmi	496.0	496.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeXIIIA_firmi	200.0	200.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIIIA1	439.0	439.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIIIA1	137.0	137.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeXIIIC_Mx162	425.0	425.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeXIIIC_Mx162	255.0	255.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIIIA2	408.0	408.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIIIA2	207.0	207.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeXIII_Mx65	388.0	388.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeXIII_Mx65	151.0	151.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by OutgroupB	338.0	338.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, OutgroupB	139.0	139.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIB2	320.0	320.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIB2	167.0	167.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIV	285.0	285.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIV	94.0	94.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIIA3_firmi	260.0	260.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIIA3_firmi	186.0	186.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
exact ncRNAs called by TypeIX	233.0	233.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
median ncRNA length, TypeIX	138.0	138.0	dbchar_g4_family_baseline	g4_ncrna_length_by_model.tsv	0.0	AGREE	landed values compared	every quantity this bundle re-derives that a landed g1-g6 table also carries; a DISAGREE row stops the build
