task_id	anchor_control	n_roots_with_hits	n_path	n_content	n_table_headers	n_parquet_schemas	absence_reportable	example_paths
T-A5b2-ncrna-architecture	PASS	13	30	892	78	8	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g1_corpus_identity/tables/s02_system_types_by_file.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g1_corpus_identity/tables/s02_taxonomy_system.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/scripts/t01_tool_calls.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t36_ncbi_genus_representation.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/fig30_ncbi_genus_representation.tsv
T-A20-pair-expansion	PASS	10	2	239	54	0	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/REPORT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/fig23_pair_topology_recurrence.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t29_recurrence_classes.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/log.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-17_stage2_mapper_repair_v2_errata.md
T-M1-embedding-cache-verification	NONE	12	1225	461	8	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/run_ug25_once.sh;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/control/UG25_PREDECLARATION_v2.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g1_history_and_definition/tables/g1_acquisition_source_resolution.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-17_stage2_mapper_repair_v2_errata.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-16_stage2_g4_design_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/TIER0_REPAIR_TABLE.md
T-M2-landed-interval-coverage-sweep	NONE	13	12	624	110	1	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/tables/ug25_identity_coverage_diagnostic.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t02_twin_effect_by_database_set.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/scripts/r01_recovery.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t23_zero_call_by_database.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/fig17_tool_venn.tsv
T-A1-absolute-baselines	NONE	11	103	416	6	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g4_family_baseline/INPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g4_family_baseline/PROVENANCE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/UG25_RESULT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_ug25_confirmatory/control/UG25_PREDECLARATION_v2.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_mapper_validation_repair_v2/tables/negative_control_summary.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_mapper_validation_repair/tables/negative_control_summary.tsv
T-A2b-budget-matched-ladder	NONE	12	29	305	37	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/proposed/LAUNCHER_02_full_length_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/broad_vs_family_specific_architecture_plan.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/fig31_data_quality.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_ANALYSIS_PRINCIPLES.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-16_stage2_g4_design_amendment.md
T-I1-integrative-decomposition	NONE	9	89	43	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/REPORT.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/FIGURE_AND_ANALYSIS_PLAN.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-18_stage2_g6_bs15_open_and_bounded_use.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/CLAIM_EVIDENCE_MATRIX.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/PROJECT_EVIDENCE_MAP.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/idea-stage/programme/05_mestre_replication.md
T-A22-functional-contrast	NONE	10	0	51	6	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g3_prior_method_replication/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g3_prior_method_replication/scripts/s05_verdicts.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/CURRENT_PROJECT_STATE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-19_stage2_g6_g7a_independent_reviews.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/EXPERIMENTAL_RT_NCRNA_REGISTER.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/PANEL_LEAKAGE_MAP.tsv
T-A23b-systematic-corpus	NONE	11	8	192	9	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g1_history_and_definition/tables/g1_literature_evidence_matrix.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/broad_vs_family_specific_architecture_plan.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/candidate_anchor_definitions.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/tables/t22_cm_meta.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_MAP.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_ANALYSIS_PRINCIPLES.md
T-A23c-source-data-retrieval	NONE	13	14	409	115	12	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2_canonical_units/tables/g2_ladder_by_source_database.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g1_corpus_identity/tables/s02_source_database_by_file.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/MANIFEST.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/scripts/t01_tool_calls.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/g6_tool_by_database.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/tables/g2b_sequence_only_by_database.tsv
T-A23d-primary-verification	NONE	0	0	0	0	0	WEAK - no anchor	
T-A23e-block-level-recount	NONE	10	0	118	1	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/validation_estimands.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_pre_g4_full_length_design/tables/candidate_anchor_definitions.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_ANALYSIS_PRINCIPLES.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-17_stage2_mapper_repair_v2_errata.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/NEGATIVE_RESULTS.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/OPEN_QUESTIONS.tsv
T-GATE1-consumption-gate	NONE	6	0	13	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g7b_stage1_extended_report/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g1_corpus_identity/run.sh;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_ANALYSIS_PRINCIPLES.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/TIER0_REPAIR_TABLE.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/OPEN_QUESTIONS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/idea-stage/programme/LAUNCHER_stage1_database_characterization.md
T-AUDIT1-circular-control-sweep	PASS	10	219	829	58	0	YES	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/scripts/c03_controls.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/c03_positive_controls.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/run.sh;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/tables/c03_positive_controls.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/tables/c03_positive_controls.tsv
T-HIA-human-input-audit	NONE	5	1	53	0	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/README.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/HUMAN_INPUT_AUDIT.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/log.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-19_stage2_closed.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/analysis/project_synthesis/TIER0_REPAIR_TABLE.md
T-A3a-rule-and-e0-freeze	NONE	10	30	308	2	0	WEAK - no anchor	RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4b_production_mapper/scripts/test_production_freeze.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/rt07_g4b_production_mapper/code/freeze.py;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g6_tool_calls/OUTPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/results/dbchar_g2b_rt_cds_recovery/OUTPUTS.tsv;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/decisions/2026-09-17_stage2_launcher_g4b_freeze_amendment.md;RESEARCH-in-sleep-FINAL_RETRON_PROJECT_v7-synthesis/docs/PROJECT_MAP.md
